Nodo,cluster_euclidean,cluster_dtw,cluster_softdtw,Nombre,Sistema,Zona_Carga,Estado,Region_Tx
06CYC-115,5,6,6,Chrysler Planta Camiones,SIN,SALTILLO,COAHUILA DE ZARAGOZA,SALTILLO
06MMD-230,0,0,2,Miramar Dos,SIN,TAMPICO,TAMAULIPAS,HUASTECA
02TPS-115,4,1,0,Tuxtepec Tres,SIN,VERACRUZ,OAXACA,TEMASCAL
03COC-69,0,0,5,Corporacion de Occidente,SIN,CIENEGA,JALISCO,GUADALAJARA
04CBA-115,6,2,3,Caborca,SIN,CABORCA,SONORA,HERMOSILLO
03VYQ-115,0,0,2,VYNMSA Queretaro,SIN,QUERETARO,QUERETARO,QUERETARO
05FXD-115,6,2,3,Foxconn Dos,SIN,JUAREZ,CHIHUAHUA,JUAREZ
02RNA-115,4,1,1,La Reina,SIN,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ
03SPL-115,0,0,2,Sapal,SIN,LEON,GUANAJUATO,AGUASCALIENTES
03NKA-69,0,0,5,Niproka,SIN,TEPIC VALLARTA,JALISCO,GUADALAJARA
04CUN-115,3,2,3,Culiacan Norte,SIN,CULIACAN,SINALOA,CULIACAN
06MIG-138,5,6,6,Miguel Aleman,SIN,NUEVO LAREDO,TAMAULIPAS,REYNOSA
04COC-115,6,2,3,Ciudad Obregon Cuatro,SIN,OBREGON,SONORA,OBREGON
03ZID-115,0,0,5,Zinaparo Dos,SIN,ZAMORA,MICHOACAN DE OCAMPO,CARAPAN
08SLC-230,4,1,0,Santa Lucia,SIN,CAMPECHE,CAMPECHE,LERMA
01JDV-85,4,1,1,Jugos del Valle,SIN,VDM NORTE,MEXICO,CENTRAL
02ECM-115,4,1,0,Escamela,SIN,ORIZABA,VERACRUZ DE IGNACIO DE LA LLAVE,TEMASCAL
03APZ-115,0,0,5,Apatzingan uno,SIN,APATZINGAN,MICHOACAN DE OCAMPO,CARAPAN
04LCH-115,6,2,3,La Choya,SIN,CABORCA,SONORA,HERMOSILLO
05ISD-115,1,4,6,Industrias Superior II,SIN,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA
02MHT-115,4,1,0,Miahuatlan,SIN,OAXACA,OAXACA,TEMASCAL
06CMN-115,5,6,6,Cumbres Poniente,SIN,MONTERREY,NUEVO LEON,MONTERREY
03UPT-115,0,0,5,Uruapan Tres,SIN,URUAPAN,MICHOACAN DE OCAMPO,CARAPAN
05ALT-115,1,4,6,Altec,SIN,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA
02TTP-115,4,1,0,Tlacotepec,SIN,TEHUACAN,PUEBLA,PUEBLA
06TMO-115,0,0,2,Tamos,SIN,TAMPICO,VERACRUZ DE IGNACIO DE LA LLAVE,HUASTECA
02CNJ-115,4,1,0,Conejos,SIN,HUATULCO,OAXACA,TEMASCAL
06CDT-115,5,6,6,Cadereyta Dos,SIN,MONTERREY,NUEVO LEON,MONTERREY
02LMX-115,4,1,0,Liberacion Mexicana,SIN,TUXTLA,CHIAPAS,GRIJALVA
01AUR-230,4,1,0,Aurora,SIN,VDM CENTRO,MEXICO,CENTRAL
01ATE-85,4,1,1,Atenco,SIN,VDM SUR,MEXICO,CENTRAL
06PBS-115,5,6,6,Planta Bombeo La Silla,SIN,MONTERREY,NUEVO LEON,MONTERREY
03SEI-115,0,0,2,Satelite,SIN,SAN LUIS POTOSI,SAN LUIS POTOSI,SAN LUIS POTOSI
04CUS-115,3,2,3,Culiacan Sur,SIN,CULIACAN,SINALOA,CULIACAN
01CTT-85,4,1,1,Cuautitlan,SIN,VDM NORTE,MEXICO,CENTRAL
02KIM-115,4,1,0,Kimberley Clark Ver,SIN,ORIZABA,VERACRUZ DE IGNACIO DE LA LLAVE,TEMASCAL
02OWC-115,4,1,0,Owens Corning Violet Mexico,SIN,TLAXCALA,TLAXCALA,PUEBLA
08CBU-115,2,3,4,Chicbul,SIN,CAMPECHE,CAMPECHE,LERMA
06AUA-138,5,6,6,Acuna,SIN,PIEDRAS NEGRAS,COAHUILA DE ZARAGOZA,RIO ESCONDIDO
01NAU-85,4,1,1,Naucalpan,SIN,VDM NORTE,MEXICO,CENTRAL
05ARM-115,1,4,6,Armendariz,SIN,CAMARGO,CHIHUAHUA,CHIHUAHUA
01ECA-230,4,1,1,Ecatepec,SIN,VDM NORTE,MEXICO,CENTRAL
01IXL-230,4,1,0,Ixtapaluca,SIN,VDM SUR,MEXICO,CENTRAL
05CEJ-115,6,2,3,Cereso Juarez,SIN,JUAREZ,CHIHUAHUA,JUAREZ
08NIZ-115,2,3,4,Nizuc,SIN,CANCUN,QUINTANA ROO,CANCUN
03ZLT-69,0,0,5,Zalatitan,SIN,GUADALAJARA,JALISCO,GUADALAJARA
01ATU-115,0,0,1,Atlacomulco Mexico,SIN,CENTRO SUR,MEXICO,CENTRAL
05TBL-115,1,4,6,Tabalaopa,SIN,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA
03TSM-115,0,0,5,Tres Marias,SIN,MORELIA,MICHOACAN DE OCAMPO,CARAPAN
05OAS-115,1,4,6,Oasis,SIN,CAMARGO,CHIHUAHUA,CHIHUAHUA
04SBK-115,6,2,3,Bahia Kino,SIN,HERMOSILLO,SONORA,HERMOSILLO
05VEZ-115,6,2,3,Valle La Esperanza,SIN,CASAS GRANDES,CHIHUAHUA,MOCTEZUMA
06REY-138,5,6,6,Reynosa,SIN,REYNOSA,TAMAULIPAS,REYNOSA
03VAR-115,0,0,2,Valle Arista,SIN,MATEHUALA,SAN LUIS POTOSI,SAN LUIS POTOSI
03MXT-115,0,0,5,Mexticacan,SIN,LOS ALTOS,JALISCO,AGUASCALIENTES
02LRZ-115,4,1,0,San Lorenzo,SIN,PUEBLA,PUEBLA,PUEBLA
04CUT-115,3,2,3,Culiacan Tres,SIN,CULIACAN,SINALOA,CULIACAN
02MRO-115,4,1,0,Matias Romero,SIN,TEHUANTEPEC,OAXACA,IXTEPEC
05LEO-115,1,4,6,Leoni Cable,SIN,CUAUHTEMOC,CHIHUAHUA,CHIHUAHUA
03LAS-115,0,0,2,Laguna Seca,SIN,FRESNILLO,ZACATECAS,AGUASCALIENTES
03DEO-115,0,0,5,De Acero,SIN,MORELIA,MICHOACAN DE OCAMPO,CARAPAN
02PUE-115,4,1,0,Puerto Escondido,SIN,HUATULCO,OAXACA,TEMASCAL
06ALM-115,5,6,6,Alamo,SIN,SALTILLO,COAHUILA DE ZARAGOZA,SALTILLO
05DGD-115,5,5,6,Durango Dos,SIN,DURANGO,DURANGO,DURANGO
01AVT-85,4,1,1,Avante Textil,SIN,VDM SUR,MEXICO,CENTRAL
06POL-115,0,0,2,Polvorin,SIN,TAMPICO,TAMAULIPAS,HUASTECA
04GSV-115,3,2,3,Guasave,SIN,GUASAVE,SINALOA,LOS MOCHIS
08CAS-115,2,3,4,Candelaria Dos,SIN,CAMPECHE,CAMPECHE,LERMA
05SGP-115,5,5,6,Santiago Papasquiaro,SIN,DURANGO,DURANGO,DURANGO
02MID-400,4,1,0,Minatitlan Dos,SIN,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS
06CYN-115,5,6,6,Cadereyta,SIN,MONTERREY,NUEVO LEON,MONTERREY
03LRE-115,0,0,5,La resolana,SIN,CIENEGA,JALISCO,GUADALAJARA
03ABL-115,0,0,5,Arboledas,SIN,ZAMORA,MICHOACAN DE OCAMPO,CARAPAN
02HCO-115,4,1,0,Huatulco,SIN,HUATULCO,OAXACA,TEMASCAL
03PUU-69,0,0,5,Puruaran,SIN,APATZINGAN,MICHOACAN DE OCAMPO,CARAPAN
01TDK-230,4,1,1,Toluca 2000,SIN,VDM SUR,MEXICO,CENTRAL
02RBO-115,4,1,0,Rio Blanco,SIN,ORIZABA,VERACRUZ DE IGNACIO DE LA LLAVE,TEMASCAL
06LDC-115,0,0,2,Laguna del Conejo,SIN,TAMPICO,TAMAULIPAS,HUASTECA
06CIM-138,5,6,6,CIMA,SIN,MATAMOROS,TAMAULIPAS,MATAMOROS
